buy_date,buy_value,num_shares,position_type,cash_balance,sell_date,sell_value,profit_loss,borrowed_value,borrow_cost
2021-01-04 09:34:00,88.0,113.63636363636364,long,9986.818181818182,2021-01-04 09:35:00,87.884,-13.181818181818144,,
2021-01-04 09:35:00,87.884,113.63636363636364,short,10029.431818181818,2021-01-04 09:45:00,87.509,42.61363636363637,9986.818181818182,0.0
2021-01-04 09:45:00,87.509,114.61028943516459,long,10036.881486995104,2021-01-04 09:46:00,87.574,7.449668813285438,,
2021-01-04 09:46:00,87.574,114.61028943516459,short,10040.434405967593,2021-01-04 09:57:00,87.543,3.552918972489151,10036.881486995104,0.0
2021-01-04 09:57:00,87.543,114.69145912257511,long,10028.965260055335,2021-01-04 09:58:00,87.443,-11.469145912258488,,
2021-01-04 09:58:00,87.443,114.6914591225751,short,10056.032444408263,2021-01-04 10:16:00,87.207,27.067184352928205,10028.965260055335,0.0
2021-01-04 10:16:00,87.207,115.31221627172434,long,10059.953059761503,2021-01-04 10:26:00,87.241,3.9206153532393224,,
2021-01-04 10:26:00,87.241,115.31221627172434,short,10054.187448947918,2021-01-04 10:27:00,87.291,-5.765610813585889,10059.953059761503,0.0
2021-01-04 10:27:00,87.291,115.18011534921033,long,10049.92578468,2021-01-04 10:28:00,87.254,-4.261664267919852,,
2021-01-04 10:28:00,87.254,115.18011534921034,short,10031.727326454824,2021-01-04 10:29:00,87.412,-18.19845822517538,10049.92578468,0.0
2021-01-04 10:29:00,87.412,114.76373182692106,long,10049.74523235165,2021-01-04 10:35:00,87.569,18.017905896826203,,
2021-01-04 10:35:00,87.569,114.76373182692106,short,10047.449957715111,2021-01-04 10:36:00,87.589,-2.2952746365379646,10049.74523235165,0.0
2021-01-04 10:36:00,87.589,114.71132171522807,long,10044.467463350515,2021-01-04 10:45:00,87.563,-2.9824943645954995,,
2021-01-04 10:45:00,87.563,114.71132171522805,short,10143.463333990756,2021-01-04 11:11:00,86.7,98.99587064024176,10044.467463350515,0.0
2021-01-04 11:11:00,86.7,116.99496348316904,long,10148.143132530082,2021-01-04 11:17:00,86.74,4.679798539325831,,
2021-01-04 11:17:00,86.74,116.99496348316904,short,10176.572908656492,2021-01-04 11:28:00,86.497,28.429776126409493,10148.143132530082,0.0
2021-01-04 11:28:00,86.497,117.65232214592982,long,10171.9844680928,2021-01-04 11:31:00,86.458,-4.588440563691437,,
2021-01-04 11:31:00,86.458,117.65232214592982,short,10167.396027529108,2021-01-04 11:36:00,86.497,-4.588440563691437,10171.9844680928,0.0
2021-01-04 11:36:00,86.497,117.54622735504246,long,10163.04681711697,2021-01-04 11:38:00,86.46,-4.3492104121372925,,
2021-01-04 11:38:00,86.46,117.54622735504246,short,10168.571489802656,2021-01-04 11:47:00,86.413,5.524672685686649,10163.04681711697,0.0
2021-01-04 11:47:00,86.413,117.67409405763782,long,10160.687325500796,2021-01-04 11:48:00,86.346,-7.884164301860918,,
2021-01-04 11:48:00,86.346,117.67409405763782,short,10157.627799055299,2021-01-04 11:50:00,86.372,-3.059526445498142,10160.687325500796,0.0
2021-01-04 11:50:00,86.372,117.60324872707936,long,10155.628543826939,2021-01-04 11:51:00,86.355,-1.999255228359868,,
2021-01-04 11:51:00,86.355,117.60324872707936,short,10191.379931439971,2021-01-04 12:06:00,86.051,35.751387613032364,10155.628543826939,0.0
2021-01-04 12:06:00,86.051,118.43418358229388,long,10173.496369719045,2021-01-04 12:08:00,85.9,-17.883561720925933,,
2021-01-04 12:08:00,85.9,118.43418358229388,short,10193.985483478782,2021-01-04 12:16:00,85.727,20.48911375973706,10173.496369719045,0.0
2021-01-04 12:16:00,85.727,118.91219199877263,long,10187.088576342852,2021-01-04 12:19:00,85.669,-6.896907135929637,,
2021-01-04 12:19:00,85.669,118.91219199877263,short,10184.948156886874,2021-01-04 12:20:00,85.687,-2.1404194559779883,10187.088576342852,0.0
2021-01-04 12:20:00,85.687,118.86223297451042,long,10187.20653931339,2021-01-04 12:21:00,85.706,2.258382426516347,,
2021-01-04 12:21:00,85.706,118.86223297451042,short,10182.452049994412,2021-01-04 12:22:00,85.746,-4.754489318979471,10187.20653931339,0.0
2021-01-04 12:22:00,85.746,118.75133592231022,long,10184.94582804878,2021-01-04 12:28:00,85.767,2.493778054368609,,
2021-01-04 12:28:00,85.767,118.75133592231022,short,10214.514910693435,2021-01-04 12:47:00,85.518,29.569082644654678,10184.94582804878,0.0
2021-01-04 12:47:00,85.518,119.44286478511465,long,10220.964825391831,2021-01-04 12:58:00,85.572,6.4499146983964355,,
2021-01-04 12:58:00,85.572,119.44286478511465,short,10202.69006707971,2021-01-04 12:59:00,85.725,-18.274758312121538,10220.964825391831,0.0
2021-01-04 12:59:00,85.725,119.01650705254838,long,10185.670706571194,2021-01-04 13:06:00,85.582,-17.0193605085145,,
2021-01-04 13:06:00,85.582,119.01650705254838,short,10174.721187922358,2021-01-04 13:09:00,85.674,-10.949518648835992,10185.670706571194,0.0
2021-01-04 13:09:00,85.674,118.76089814789034,long,10199.89849832971,2021-01-04 13:18:00,85.886,25.177310407351456,,
2021-01-04 13:18:00,85.886,118.76089814789036,short,10204.292651561182,2021-01-04 13:19:00,85.849,4.394153231470985,10199.89849832971,0.0
2021-01-04 13:19:00,85.849,118.86326749946046,long,10230.442570411064,2021-01-04 13:30:00,86.069,26.149918849881168,,
2021-01-04 13:30:00,86.069,118.86326749946048,short,10224.38054376859,2021-01-04 13:34:00,86.12,-6.062026642472714,10230.442570411064,0.0
2021-01-04 13:34:00,86.12,118.72248657418241,long,10229.129443231555,2021-01-04 13:40:00,86.16,4.748899462966351,,
2021-01-04 13:40:00,86.16,118.7224865741824,short,10218.444419439878,2021-01-04 13:42:00,86.25,-10.685023791676821,10229.129443231555,0.0
2021-01-04 13:42:00,86.25,118.47471790654932,long,10217.852045850346,2021-01-04 13:47:00,86.245,-0.5923735895322079,,
2021-01-04 13:47:00,86.245,118.47471790654932,short,10221.050863233822,2021-01-04 13:49:00,86.218,3.198817383476953,10217.852045850346,0.0
2021-01-04 13:49:00,86.218,118.5489209124988,long,10230.771874748647,2021-01-04 14:01:00,86.3,9.721011514824147,,
2021-01-04 14:01:00,86.3,118.54892091249882,short,10226.267015753972,2021-01-04 14:02:00,86.338,-4.5048589946745645,10230.771874748647,0.0
2021-01-04 14:02:00,86.338,118.44456688542672,long,10208.381886154273,2021-01-04 14:19:00,86.187,-17.885129599698992,,
2021-01-04 14:19:00,86.187,118.44456688542672,short,10205.302327415253,2021-01-04 14:23:00,86.213,-3.0795587390206505,10208.381886154273,0.0
2021-01-04 14:23:00,86.213,118.37312618068334,long,10206.130939298519,2021-01-04 14:29:00,86.22,0.8286118832653755,,
2021-01-04 14:29:00,86.22,118.37312618068336,short,10208.616774948312,2021-01-04 14:55:00,86.199,2.4858356497944447,10206.130939298519,0.0
2021-01-04 14:55:00,86.199,118.43080285094157,long,10211.577545019587,2021-01-04 15:02:00,86.224,2.9607700712742124,,
2021-01-04 15:02:00,86.224,118.43080285094157,short,10193.812924591946,2021-01-04 15:07:00,86.374,-17.764620427640228,10211.577545019587,0.0
2021-01-04 15:07:00,86.374,118.01946100206018,long,10197.353508422008,2021-01-04 15:17:00,86.404,3.5405838300619394,,
2021-01-04 15:17:00,86.404,118.01946100206018,short,10191.924613215911,2021-01-04 15:33:00,86.45,-5.428895206095533,10197.353508422008,0.0
2021-01-04 15:33:00,86.45,117.8938648145276,long,10199.351926699228,2021-01-04 15:48:00,86.513,7.427313483315521,,
2021-01-04 15:48:00,86.513,117.89386481452762,short,10183.789936543712,2021-01-04 15:50:00,86.645,-15.56199015551656,10199.351926699228,0.0
2021-01-04 15:50:00,86.645,117.5346521616217,long,10119.733551115627,2021-01-05 09:32:00,86.1,-64.05638542808403,,
2021-01-05 09:32:00,86.1,117.5346521616217,short,10072.719690250977,2021-01-05 09:36:00,86.5,-47.013860864649345,10119.733551115627,0.0
2021-01-05 09:36:00,86.5,116.44762647688991,long,10069.808499589055,2021-01-05 09:41:00,86.475,-2.9111906619229098,,
2021-01-05 09:41:00,86.475,116.44762647688992,short,10061.074927603288,2021-01-05 09:42:00,86.55,-8.733571985767075,10069.808499589055,0.0
2021-01-05 09:42:00,86.55,116.24581083308247,long,10077.814324363253,2021-01-05 09:49:00,86.694,16.73939675996451,,
2021-01-05 09:49:00,86.694,116.24581083308249,short,10049.566592330813,2021-01-05 09:50:00,86.937,-28.247732032438464,10077.814324363253,0.0
2021-01-05 09:50:00,86.937,115.59596710641975,long,10065.287643857286,2021-01-05 09:57:00,87.073,15.721051526472587,,
2021-01-05 09:57:00,87.073,115.59596710641975,short,10058.583077765112,2021-01-05 09:58:00,87.131,-6.704566092173147,10065.287643857286,0.0
2021-01-05 09:58:00,87.131,115.4420708790799,long,10054.427163213464,2021-01-05 10:01:00,87.095,-4.155914551647034,,
2021-01-05 10:01:00,87.095,115.4420708790799,short,10041.728535416765,2021-01-05 10:04:00,87.205,-12.698627796698725,10054.427163213464,0.0
2021-01-05 10:04:00,87.205,115.15083464728818,long,10031.710412802451,2021-01-05 10:09:00,87.118,-10.018122614314452,,
2021-01-05 10:09:00,87.118,115.15083464728818,short,10028.255887763033,2021-01-05 10:11:00,87.148,-3.454525039418776,10031.710412802451,0.0
2021-01-05 10:11:00,87.148,115.07155514484593,long,10029.981961090205,2021-01-05 10:12:00,87.163,1.7260733271727544,,
2021-01-05 10:12:00,87.163,115.07155514484593,short,10055.52784633236,2021-01-05 10:25:00,86.941,25.54588524215513,10029.981961090205,0.0
2021-01-05 10:25:00,86.941,115.65921540277152,long,10050.785818500846,2021-01-05 10:30:00,86.9,-4.742027831513265,,
2021-01-05 10:30:00,86.9,115.65921540277152,short,10050.207522423832,2021-01-05 10:34:00,86.905,-0.5782960770133316,10050.785818500846,0.0
2021-01-05 10:34:00,86.905,115.64590670759833,long,10038.064702219535,2021-01-05 10:37:00,86.8,-12.142820204298285,,
2021-01-05 10:37:00,86.8,115.64590670759834,short,10034.132741391475,2021-01-05 10:43:00,86.834,-3.9319608280590406,10038.064702219535,0.0
2021-01-05 10:43:00,86.834,115.555344005706,long,10028.008308159173,2021-01-05 10:44:00,86.781,-6.124433232302103,,
2021-01-05 10:44:00,86.781,115.555344005706,short,10024.079426462979,2021-01-05 10:49:00,86.815,-3.9288816961930584,10028.008308159173,0.0
2021-01-05 10:49:00,86.815,115.46483241908632,long,10018.075255177188,2021-01-05 10:50:00,86.763,-6.004171285791623,,
2021-01-05 10:50:00,86.763,115.46483241908632,short,10012.879337718328,2021-01-05 11:02:00,86.808,-5.195917458859081,10018.075255177188,0.0
2021-01-05 11:02:00,86.808,115.34512185188379,long,10006.18932065092,2021-01-05 11:06:00,86.75,-6.69001706741006,,
2021-01-05 11:06:00,86.75,115.3451218518838,short,10015.301585277217,2021-01-05 11:14:00,86.671,9.112264626298073,10006.18932065092,0.0
2021-01-05 11:14:00,86.671,115.55539436809563,long,9998.314942305107,2021-01-05 11:15:00,86.524,-16.9866429721107,,
2021-01-05 11:15:00,86.524,115.55539436809563,short,9985.141627347144,2021-01-05 11:20:00,86.638,-13.1733149579634,9998.314942305107,0.0
2021-01-05 11:20:00,86.638,115.25129420516568,long,9996.89725935607,2021-01-05 11:32:00,86.74,11.755632008925707,,
2021-01-05 11:32:00,86.74,115.25129420516568,short,9985.602632523964,2021-01-05 11:37:00,86.838,-11.294626832106118,9996.89725935607,0.0
2021-01-05 11:37:00,86.838,114.9911632295074,long,9985.142667871047,2021-01-05 11:43:00,86.834,-0.45996465291695765,,
2021-01-05 11:43:00,86.834,114.9911632295074,short,9983.072826932916,2021-01-05 11:51:00,86.852,-2.069840938131212,9985.142667871047,0.0
2021-01-05 11:51:00,86.852,114.94349959624321,long,9975.486555959564,2021-01-05 11:57:00,86.786,-7.58627097335234,,
2021-01-05 11:57:00,86.786,114.94349959624321,short,9973.302629467235,2021-01-05 12:05:00,86.805,-2.1839264923292485,9975.486555959564,0.0
2021-01-05 12:05:00,86.805,114.89318160782483,long,9960.319699945549,2021-01-05 12:07:00,86.692,-12.982929521685787,,
