buy_date,buy_value,num_shares,position_type,cash_balance,borrowed_value,sell_date,sell_value,profit_loss,borrow_cost
2024-06-17 10:30:00,442.38,22.605000226050002,short,9964.510149645103,10000.0,2024-06-17 11:00:00,443.95,-35.48985035489835,0.0
2024-06-17 11:00:00,443.95,22.445118030510425,long,10063.156443389198,,2024-06-17 17:00:00,448.345,98.64629374409418,
2024-06-17 17:00:00,448.345,22.44511803051043,short,10064.390924880876,10063.156443389198,2024-06-17 19:30:00,448.29,1.2344814916782267,0.0
2024-06-17 19:30:00,448.29,22.45062554346712,long,10088.637600467819,,2024-06-18 08:30:00,449.37,24.246675586944132,
2024-06-18 08:30:00,449.37,22.45062554346712,short,10134.436876576492,10088.637600467819,2024-06-18 13:30:00,447.33,45.79927610867338,0.0
2024-06-18 13:30:00,447.33,22.655392834320285,long,10102.152941787586,,2024-06-18 14:00:00,445.905,-32.28393478890666,
2024-06-18 14:00:00,445.905,22.655392834320285,short,10098.86790982661,10102.152941787586,2024-06-18 14:30:00,446.05,-3.285031960977317,0.0
2024-06-18 14:30:00,446.05,22.640663400575292,long,10104.301669042747,,2024-06-18 15:00:00,446.29,5.433759216138276,
2024-06-18 15:00:00,446.29,22.64066340057529,short,10101.584789434679,10104.301669042747,2024-06-18 17:30:00,446.41,-2.7168796080691378,0.0
2024-06-18 17:30:00,446.41,22.62849127357066,long,10119.461297540798,,2024-06-20 07:30:00,447.2,17.87650810612,
2024-06-20 07:30:00,447.2,22.62849127357066,short,10176.032525724724,10119.461297540798,2024-06-20 13:00:00,444.7,56.57122818392665,0.0
