buy_date,buy_value,num_shares,position_type,cash_balance,sell_date,sell_value,profit_loss,borrowed_value,borrow_cost
2021-01-04 08:06:00,539.09,18.549778330148953,long,9970.505852455062,2021-01-04 08:31:00,537.5,-29.494147544937427,,
2021-01-04 08:31:00,537.5,18.549778330148953,short,9966.053905655826,2021-01-04 08:43:00,537.74,-4.451946799235918,9970.505852455062,0.0
2021-01-04 08:43:00,537.74,18.53322034004505,long,9981.992475148265,2021-01-04 09:18:00,538.6,15.938569492438997,,
2021-01-04 09:18:00,538.6,18.53322034004505,short,9983.84579718227,2021-01-04 09:19:00,538.5,1.8533220340049266,9981.992475148265,0.0
2021-01-04 09:19:00,538.5,18.540103615937362,long,9983.84579718227,2021-01-04 09:20:00,538.5,0.0,,
2021-01-04 09:20:00,538.5,18.540103615937362,short,9975.502750555099,2021-01-04 09:29:00,538.95,-8.343046627172656,9983.84579718227,0.0
2021-01-04 09:29:00,538.95,18.50914324251804,long,9943.11174988069,2021-01-04 09:32:00,537.2,-32.39100067440657,,
2021-01-04 09:32:00,537.2,18.50914324251804,short,9974.577293392971,2021-01-04 09:39:00,535.5,31.46554351228151,9943.11174988069,0.0
2021-01-04 09:39:00,535.5,18.626661612311803,long,9988.733556218327,2021-01-04 09:40:00,536.26,14.156262825356801,,
2021-01-04 09:40:00,536.26,18.626661612311803,short,9983.145557734633,2021-01-04 09:41:00,536.56,-5.587998483692694,9988.733556218327,0.0
2021-01-04 09:41:00,536.56,18.605832633320848,long,9979.238332881638,2021-01-04 09:42:00,536.35,-3.9072248529959395,,
2021-01-04 09:42:00,536.35,18.605832633320848,short,10024.636564506942,2021-01-04 09:49:00,533.91,45.398231625303886,9979.238332881638,0.0
2021-01-04 09:49:00,533.91,18.775892125090262,long,10013.183270310636,2021-01-04 09:50:00,533.3,-11.453294196305317,,
2021-01-04 09:50:00,533.3,18.775892125090262,short,10060.498518465862,2021-01-04 10:00:00,530.78,47.31524815522712,10013.183270310636,0.0
2021-01-04 10:00:00,530.78,18.954177848573536,long,10043.439758402146,2021-01-04 10:04:00,529.88,-17.058760063715752,,
2021-01-04 10:04:00,529.88,18.954177848573536,short,10019.936577869916,2021-01-04 10:06:00,531.12,-23.503180532231358,10043.439758402146,0.0
2021-01-04 10:06:00,531.12,18.86567362906672,long,9992.204037635187,2021-01-04 10:18:00,529.65,-27.732540234728592,,
2021-01-04 10:18:00,529.65,18.86567362906672,short,10013.465651815144,2021-01-04 10:29:00,528.523,21.261614179957302,9992.204037635187,0.0
2021-01-04 10:29:00,528.523,18.946130351593297,long,10009.14593409498,2021-01-04 10:30:00,528.295,-4.319717720164513,,
